ncm;descricao;categoria;fundamento_legal;vigencia_inicio;vigencia_fim
25232900;Cimento Portland;MATERIAL_CONSTRUCAO;LC 214/2025 art. 9º (regra geral);2026-01-01;
32081010;Tintas e vernizes à base de polímeros;MATERIAL_CONSTRUCAO;LC 214/2025 art. 9º (regra geral);2026-01-01;
82055900;Ferramentas manuais diversas;MATERIAL_CONSTRUCAO;LC 214/2025 art. 9º (regra geral);2026-01-01;
73084000;Estruturas e armações metálicas;MATERIAL_CONSTRUCAO;LC 214/2025 art. 9º (regra geral);2026-01-01;
39181000;Revestimentos plásticos para pisos e paredes;MATERIAL_CONSTRUCAO;LC 214/2025 art. 9º (regra geral);2026-01-01;
